zip_2,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,pub_rec,revol_bal,revol_util,mort_acc,pub_rec_bankruptcies,credit_history,credit_line_ratio,balance_annual_income,fico_avg_score,installment_amnt_ratio
12,0.44804839986473444,4.606427504646788,1.3010749712827967,6.482307646579355,3.5615573860828835,0.6655997465760319,0.4925446437136926,0.8391650952439438,0.41943157236860146,2.1924790453023255,8.196874295572607,0.3827855060962103,20066.196652298244,23.892539777459778,1.8941942277514463,0.32412770687113557,2544.668035400165,0.16658263364388615,0.1108517616163422,31.794808203692345,0.004360476907185654
13,0.44279859094191154,4.548229355490128,1.2890612965873907,6.424613992903083,3.4982650127869497,0.6556338656452051,0.4831747711530825,0.8438400353218988,0.4140687994807988,2.2754377537702704,8.05069688502314,0.385436241285224,14719.214046346002,23.96410190869187,1.7991264131624174,0.3364170019539431,2492.201005215808,0.16848101915259225,0.11371814605800237,31.434808267806716,0.004363688229983566
14,0.43597034107535654,4.55950291538506,1.299303212099788,6.447457635203038,3.567530660726653,0.6558935783983237,0.4835583109125739,0.8454935290872871,0.4117892149855295,2.2591453292465635,8.123986007734379,0.37861114973501936,17157.336325877994,23.922734528077637,1.704105206651705,0.3133674037634322,2530.5100861964793,0.16863012265241653,0.11295822730161463,31.994396459334297,0.004302215764074819
15,0.4480951204603517,4.545682067341093,1.2903840821728216,6.415359914671706,3.6142207648547817,0.653297102791431,0.5024679258130627,0.8459524284957383,0.41013567628341135,2.304979750919471,8.203561532646054,0.3551668987883358,18268.28210391182,23.934528961123103,1.696672861577782,0.32043493038327364,2650.2890706589696,0.17265199497030356,0.11374784644993383,31.071667451213273,0.00438598020639565
16,0.4527596289469559,4.4428485090024,1.2646728764808157,6.265244703474895,3.5686995834167967,0.6439128491423926,0.515253375938728,0.855479469913232,0.4038866127564216,2.2758627980848827,8.215470793517786,0.384876303412822,17449.933442401223,23.75165405219578,1.7642896234504104,0.340672468287178,2588.434374631813,0.1692480002572028,0.11357432870351807,30.837563784877666,0.004452797141339146
17,0.4553231053538018,4.564184591923524,1.299103170280105,6.427998320647699,3.5999456745716776,0.6179692366767404,0.47897096829022573,0.838200543945674,0.40688801638228667,2.206587290755281,8.187595066377646,0.35053717579197546,21892.2698530467,23.914998714926913,2.0388482844513183,0.3217299462451989,2487.701176023395,0.1688232884626323,0.11421183109520894,30.946654883339658,0.004457795129473091
18,0.45070372552302873,4.556049324922355,1.2985672716268946,6.448324797588317,3.5620961518721983,0.6396727263302747,0.5172021823491793,0.8395084371176356,0.4153081375805077,2.3102745090389196,8.205808341474897,0.34982605143393236,23390.76722021546,23.90463288311922,2.0342278438996044,0.3079569784685024,2709.760115405768,0.17004781358197799,0.11283986715850125,31.512058536364844,0.004416015961015716
19,0.44421926525614264,4.626366307654527,1.3172019346647366,6.549537983797896,3.6036850779633034,0.6424825368421493,0.512786512146812,0.8278923240628024,0.4028099251939037,2.364795043538593,8.112498342614748,0.3245125988484566,29796.813095825964,24.329924052213823,2.0078186383906282,0.2607547789462646,2677.175438154474,0.1765764052180898,0.1109458734697859,31.362717173200306,0.004339923418276505
20,0.4399654846551098,4.68782510840107,1.3299392847388911,6.635403868782478,3.629468352408744,0.6267040289608591,0.4941194820433858,0.8107050391429916,0.3910155635421145,2.4849386572957797,8.016262254236228,0.34217422285749566,27595.31330813102,24.78290550254561,2.277869388848157,0.27531433692860613,2600.8095350727726,0.1770253887927816,0.10492781215509653,30.920342740740498,0.0042854144849212615
21,0.448421874204546,4.692400791749945,1.324782124246012,6.589900551145616,3.6114569819497233,0.6222776296944709,0.4880287260538492,0.8208958260964673,0.41269044523955806,2.3340782000087104,8.083250419952352,0.37976737028875707,24838.74126241176,24.326574805458506,2.221472889872683,0.31705442884360197,2613.238041869612,0.16984693813788526,0.10817175131800305,31.374589041917567,0.004361721784775034
